idCliente,idServidor,velocidad,distancia
1,10,300,3
2,10,600,10
3,10,300,1
4,10,600,8
5,10,900,4
6,10,300,4
7,10,600,3
8,10,900,5
9,10,900,8
11,13,300,6
12,13,900,8
14,16,600,7
15,16,300,9
17,25,900,7
18,25,900,8
19,25,600,4
20,25,900,2
21,25,300,8
22,25,600,7
23,25,900,4
24,25,900,3
26,29,900,8
27,29,600,1
28,29,600,10
30,31,600,1
32,54,900,7
33,54,600,6
34,54,600,6
35,54,300,1
36,54,300,4
37,54,600,3
38,54,600,10
39,54,900,3
40,54,300,4
41,54,600,4
42,54,900,7
43,54,600,2
44,54,600,8
45,54,900,5
46,54,600,5
47,54,300,3
48,54,600,10
49,54,900,6
50,54,300,10
51,54,900,6
52,54,300,4
53,54,600,4
55,65,900,8
56,65,300,6
57,65,900,3
58,65,900,8
59,65,900,2
60,65,300,6
61,65,900,10
62,65,600,10
63,65,300,8
64,65,900,5
66,67,300,1
68,70,300,7
69,70,900,2
71,74,900,3
72,74,300,9
73,74,300,2
76,77,300,5
78,92,600,6
79,92,900,5
80,92,300,3
81,92,300,9
82,92,900,3
83,92,600,1
84,92,600,4
85,92,600,5
86,92,900,7
87,92,300,7
88,92,900,10
89,92,600,5
90,92,600,4
91,92,900,8
93,95,900,2
94,95,900,3
97,110,900,1
98,110,300,10
99,110,600,8
100,110,900,8
101,110,600,2
102,110,600,7
103,110,900,3
104,110,300,1
105,110,300,7
106,110,600,6
107,110,600,10
108,110,300,2
109,110,600,1
111,115,600,9
112,115,300,6
113,115,600,2
114,115,900,10
116,117,900,7
118,128,300,2
119,128,900,3
120,128,300,7
121,128,600,5
122,128,300,3
123,128,300,10
124,128,300,9
125,128,900,5
126,128,600,2
127,128,600,4
129,131,300,7
130,131,900,8
132,140,300,8
133,140,600,4
134,140,300,7
135,140,300,2
136,140,600,3
137,140,600,4
138,140,900,10
139,140,300,6
141,150,300,9
142,150,600,6
143,150,900,4
144,150,900,1
145,150,900,2
146,150,900,5
147,150,900,1
148,150,300,6
149,150,900,6
151,162,900,4
152,162,600,4
153,162,300,4
154,162,600,6
155,162,600,1
156,162,300,5
157,162,600,6
158,162,600,8
159,162,300,5
160,162,300,7
161,162,900,10
163,164,900,5
166,177,900,9
167,177,900,1
168,177,600,2
169,177,600,8
170,177,600,9
171,177,300,2
172,177,300,5
173,177,600,1
174,177,300,7
175,177,300,9
176,177,300,5
178,179,900,7
180,188,300,6
181,188,900,1
182,188,900,4
183,188,300,7
184,188,300,7
185,188,900,4
186,188,600,5
187,188,900,3
189,190,600,5
191,194,900,3
192,194,600,4
193,194,300,3
196,200,900,10
197,200,300,1
198,200,600,2
199,200,300,2
201,202,600,5
203,205,300,7
204,205,600,1
206,209,900,1
207,209,300,9
208,209,900,9
210,211,300,8
212,214,900,4
213,214,300,10
215,228,900,4
216,228,900,2
217,228,300,1
218,228,900,4
219,228,600,10
220,228,300,9
221,228,300,8
222,228,600,2
223,228,300,9
224,228,300,8
225,228,300,3
226,228,900,6
227,228,600,1
229,233,300,6
230,233,900,6
231,233,600,4
232,233,300,10
234,238,900,8
235,238,300,8
236,238,300,10
237,238,600,3
239,243,900,1
240,243,300,1
241,243,300,2
242,243,600,1
244,251,900,3
245,251,600,6
246,251,300,8
247,251,600,3
248,251,300,5
249,251,300,6
250,251,300,2
252,254,300,5
253,254,300,7
255,258,300,10
256,258,600,8
257,258,600,9
259,265,300,10
260,265,600,8
261,265,300,9
262,265,900,1
263,265,300,2
264,265,900,10
266,268,600,8
267,268,600,7
269,273,900,6
270,273,300,2
271,273,600,10
272,273,300,2
274,281,600,6
275,281,600,5
276,281,300,4
277,281,600,8
278,281,300,10
279,281,300,8
280,281,600,3
282,283,600,6
284,299,900,2
285,299,900,4
286,299,300,10
287,299,600,4
288,299,300,9
289,299,900,1
290,299,900,8
291,299,900,8
292,299,900,4
293,299,600,4
294,299,300,9
295,299,300,3
296,299,900,1
297,299,600,4
298,299,900,7
0,10,1000,701
0,16,3000,81
0,25,2000,442
0,65,3000,736
0,131,3000,39
0,140,3000,523
0,209,3000,686
0,211,1000,539
0,233,3000,145
0,265,2000,620
0,283,3000,737
0,299,2000,558
10,25,1000,815
10,75,3000,357
10,77,1000,459
10,92,2000,640
10,110,3000,431
10,117,3000,174
10,164,1000,528
10,165,3000,290
10,177,3000,255
10,228,1000,180
10,243,1000,951
10,251,2000,797
10,254,1000,746
10,283,3000,17
13,25,2000,258
13,67,1000,1000
13,75,3000,804
13,92,1000,273
13,150,2000,89
13,164,3000,141
13,202,3000,748
13,211,2000,462
13,233,2000,596
